alfa-romero  ,convertible,21,13495
alfa-romero  ,convertible,21,16500
alfa-romero  ,hatchback  ,19,16500
audi         ,sedan      ,24,13950
audi         ,sedan      ,18,17450
audi         ,sedan      ,19,15250
audi         ,wagon      ,19,18920
bmw          ,sedan      ,23,16430
bmw          ,sedan      ,23,16925
bmw          ,sedan      ,21,20970
bmw          ,sedan      ,16,30760
bmw          ,sedan      ,16,41315
bmw          ,sedan      ,15,36880
chevrolet    ,hatchback  ,47,5151
chevrolet    ,hatchback  ,38,6295
chevrolet    ,sedan      ,38,6575
dodge        ,hatchback  ,31,6377
dodge        ,hatchback  ,31,6229
honda        ,wagon      ,30,7295
honda        ,sedan      ,24,12945
honda        ,sedan      ,25,10345
isuzu        ,sedan      ,24,6785
isuzu        ,sedan      ,38,11000
isuzu        ,sedan      ,38,10000
jaguar       ,sedan      ,15,32250
jaguar       ,sedan      ,15,35550
jaguar       ,sedan      ,13,36000
mazda        ,hatchback  ,30,5195
mazda        ,hatchback  ,31,6095
mazda        ,hatchback  ,31,6795
mazda        ,hatchback  ,17,11845
mazda        ,sedan      ,31,18344
mercedes-benz,sedan      ,22,25552
mercedes-benz,wagon      ,22,28248
mercedes-benz,sedan      ,14,40960
mercedes-benz,hardtop    ,14,45400
mitsubishi   ,hatchback  ,37,5389
mitsubishi   ,hatchback  ,31,6189
mitsubishi   ,sedan      ,25,6989
mitsubishi   ,sedan      ,25,8189
nissan       ,sedan      ,45,7099
nissan       ,sedan      ,31,6649
nissan       ,sedan      ,31,6849
nissan       ,wagon      ,31,7349
nissan       ,sedan      ,19,13499
porsche      ,hardtop    ,17,34028
porsche      ,convertible,17,37028
porsche      ,hatchback  ,17,35500
toyota       ,hatchback  ,35,5348
toyota       ,hatchback  ,31,6338
toyota       ,hatchback  ,31,6488
toyota       ,wagon      ,31,6918
toyota       ,wagon      ,27,7898
toyota       ,wagon      ,27,8778
toyota       ,wagon      ,19,15750
volkswagen   ,sedan      ,37,7775
volkswagen   ,sedan      ,27,7975
volkswagen   ,sedan      ,37,7995
volkswagen   ,sedan      ,26,9995
volvo        ,sedan      ,23,12940
volvo        ,wagon      ,23,13415alfa-romero,convertible,21,13495
alfa-romero  ,convertible,21,16500
alfa-romero  ,hatchback  ,19,16500
audi         ,sedan      ,24,13950
audi         ,sedan      ,18,17450
audi         ,sedan      ,19,15250
audi         ,wagon      ,19,18920
bmw          ,sedan      ,23,16430
bmw          ,sedan      ,23,16925
bmw          ,sedan      ,21,20970
bmw          ,sedan      ,16,30760
bmw          ,sedan      ,16,41315
bmw          ,sedan      ,15,36880
chevrolet    ,hatchback  ,47,5151
chevrolet    ,hatchback  ,38,6295
chevrolet    ,sedan      ,38,6575
dodge        ,hatchback  ,31,6377
dodge        ,hatchback  ,31,6229
honda        ,wagon      ,30,7295
honda        ,sedan      ,24,12945
honda        ,sedan      ,25,10345
isuzu        ,sedan      ,24,6785
isuzu        ,sedan      ,38,11000
isuzu        ,sedan      ,38,10000
jaguar       ,sedan      ,15,32250
jaguar       ,sedan      ,15,35550
jaguar       ,sedan      ,13,36000
mazda        ,hatchback  ,30,5195
mazda        ,hatchback  ,31,6095
mazda        ,hatchback  ,31,6795
mazda        ,hatchback  ,17,11845
mazda        ,sedan      ,31,18344
mercedes-benz,sedan      ,22,25552
mercedes-benz,wagon      ,22,28248
mercedes-benz,sedan      ,14,40960
mercedes-benz,hardtop    ,14,45400
mitsubishi   ,hatchback  ,37,5389
mitsubishi   ,hatchback  ,31,6189
mitsubishi   ,sedan      ,25,6989
mitsubishi   ,sedan      ,25,8189
nissan       ,sedan      ,45,7099
nissan       ,sedan      ,31,6649
nissan       ,sedan      ,31,6849
nissan       ,wagon      ,31,7349
nissan       ,sedan      ,19,13499
porsche      ,hardtop    ,17,34028
porsche      ,convertible,17,37028
porsche      ,hatchback  ,17,35500
toyota       ,hatchback  ,35,5348
toyota       ,hatchback  ,31,6338
toyota       ,hatchback  ,31,6488
toyota       ,wagon      ,31,6918
toyota       ,wagon      ,27,7898
toyota       ,wagon      ,27,8778
toyota       ,wagon      ,19,15750
volkswagen   ,sedan      ,37,7775
volkswagen   ,sedan      ,27,7975
volkswagen   ,sedan      ,37,7995
volkswagen   ,sedan      ,26,9995
volvo        ,sedan      ,23,12940
volvo        ,wagon      ,23,13415
